data_file                                           Ar_lj.inp.gz
system_name                                           (null)
mesh_flag                                           0
numLattice                                           1
a1                                           3.669730   0.000000   0.000000
a2                                           0.000000   3.669730   0.000000
a3                                           0.000000   0.000000   3.669730
lattice_type                                           1
atomistic                                           6  6  6
full                                           512  512  256
mesh_levels                                           6
n_level                                           0  2
n_level                                           1  8
n_level                                           2  16
n_level                                           3  32
n_level                                           4  64
n_level                                           5  128
problem_size                                           0
material                                           0   Ar
+++++++++++++++++++++++++++++++++++++++++++++++
++++++++++++++++ output data ++++++++++++++++++
+++++++++++++++++++++++++++++++++++++++++++++++
material    (0, Ar)   
lattice name    bcc
lattice type    BCC
lattice constants : 
a1       3.669730  0.000000  0.000000
a2       0.000000  3.669730  0.000000
a3       0.000000  0.000000  3.669730
l_start       0  0  0
l_end       512  512  256
+++++++++++++++++++  node data  ++++++++++++++++++
number nodes    1677
0  0  0
512  0  0
0  512  0
512  512  0
250  250  250
251  250  250
252  250  250
253  250  250
254  250  250
255  250  250
256  250  250
257  250  250
258  250  250
259  250  250
260  250  250
261  250  250
262  250  250
250  251  250
251  251  250
252  251  250
253  251  250
254  251  250
255  251  250
256  251  250
257  251  250
258  251  250
259  251  250
260  251  250
261  251  250
262  251  250
250  252  250
251  252  250
252  252  250
253  252  250
254  252  250
255  252  250
256  252  250
257  252  250
258  252  250
259  252  250
260  252  250
261  252  250
262  252  250
250  253  250
251  253  250
252  253  250
253  253  250
254  253  250
255  253  250
256  253  250
257  253  250
258  253  250
259  253  250
260  253  250
261  253  250
262  253  250
250  254  250
251  254  250
252  254  250
253  254  250
254  254  250
255  254  250
256  254  250
257  254  250
258  254  250
259  254  250
260  254  250
261  254  250
262  254  250
250  255  250
251  255  250
252  255  250
253  255  250
254  255  250
255  255  250
256  255  250
257  255  250
258  255  250
259  255  250
260  255  250
261  255  250
262  255  250
250  256  250
251  256  250
252  256  250
253  256  250
254  256  250
255  256  250
256  256  250
257  256  250
258  256  250
259  256  250
260  256  250
261  256  250
262  256  250
250  257  250
251  257  250
252  257  250
253  257  250
254  257  250
255  257  250
256  257  250
257  257  250
258  257  250
259  257  250
260  257  250
261  257  250
262  257  250
250  258  250
251  258  250
252  258  250
253  258  250
254  258  250
255  258  250
256  258  250
257  258  250
258  258  250
259  258  250
260  258  250
261  258  250
262  258  250
250  259  250
251  259  250
252  259  250
253  259  250
254  259  250
255  259  250
256  259  250
257  259  250
258  259  250
259  259  250
260  259  250
261  259  250
262  259  250
250  260  250
251  260  250
252  260  250
253  260  250
254  260  250
255  260  250
256  260  250
257  260  250
258  260  250
259  260  250
260  260  250
261  260  250
262  260  250
250  261  250
251  261  250
252  261  250
253  261  250
254  261  250
255  261  250
256  261  250
257  261  250
258  261  250
259  261  250
260  261  250
261  261  250
262  261  250
250  262  250
251  262  250
252  262  250
253  262  250
254  262  250
255  262  250
256  262  250
257  262  250
258  262  250
259  262  250
260  262  250
261  262  250
262  262  250
250  250  251
251  250  251
252  250  251
253  250  251
254  250  251
255  250  251
256  250  251
257  250  251
258  250  251
259  250  251
260  250  251
261  250  251
262  250  251
250  251  251
251  251  251
252  251  251
253  251  251
254  251  251
255  251  251
256  251  251
257  251  251
258  251  251
259  251  251
260  251  251
261  251  251
262  251  251
250  252  251
251  252  251
252  252  251
253  252  251
254  252  251
255  252  251
256  252  251
257  252  251
258  252  251
259  252  251
260  252  251
261  252  251
262  252  251
250  253  251
251  253  251
252  253  251
253  253  251
254  253  251
255  253  251
256  253  251
257  253  251
258  253  251
259  253  251
260  253  251
261  253  251
262  253  251
250  254  251
251  254  251
252  254  251
253  254  251
254  254  251
255  254  251
256  254  251
257  254  251
258  254  251
259  254  251
260  254  251
261  254  251
262  254  251
250  255  251
251  255  251
252  255  251
253  255  251
254  255  251
255  255  251
256  255  251
257  255  251
258  255  251
259  255  251
260  255  251
261  255  251
262  255  251
250  256  251
251  256  251
252  256  251
253  256  251
254  256  251
255  256  251
256  256  251
257  256  251
258  256  251
259  256  251
260  256  251
261  256  251
262  256  251
250  257  251
251  257  251
252  257  251
253  257  251
254  257  251
255  257  251
256  257  251
257  257  251
258  257  251
259  257  251
260  257  251
261  257  251
262  257  251
250  258  251
251  258  251
252  258  251
253  258  251
254  258  251
255  258  251
256  258  251
257  258  251
258  258  251
259  258  251
260  258  251
261  258  251
262  258  251
250  259  251
251  259  251
252  259  251
253  259  251
254  259  251
255  259  251
256  259  251
257  259  251
258  259  251
259  259  251
260  259  251
261  259  251
262  259  251
250  260  251
251  260  251
252  260  251
253  260  251
254  260  251
255  260  251
256  260  251
257  260  251
258  260  251
259  260  251
260  260  251
261  260  251
262  260  251
250  261  251
251  261  251
252  261  251
253  261  251
254  261  251
255  261  251
256  261  251
257  261  251
258  261  251
259  261  251
260  261  251
261  261  251
262  261  251
250  262  251
251  262  251
252  262  251
253  262  251
254  262  251
255  262  251
256  262  251
257  262  251
258  262  251
259  262  251
260  262  251
261  262  251
262  262  251
250  250  252
251  250  252
252  250  252
253  250  252
254  250  252
255  250  252
256  250  252
257  250  252
258  250  252
259  250  252
260  250  252
261  250  252
262  250  252
250  251  252
251  251  252
252  251  252
253  251  252
254  251  252
255  251  252
256  251  252
257  251  252
258  251  252
259  251  252
260  251  252
261  251  252
262  251  252
250  252  252
251  252  252
252  252  252
253  252  252
254  252  252
255  252  252
256  252  252
257  252  252
258  252  252
259  252  252
260  252  252
261  252  252
262  252  252
250  253  252
251  253  252
252  253  252
253  253  252
254  253  252
255  253  252
256  253  252
257  253  252
258  253  252
259  253  252
260  253  252
261  253  252
262  253  252
250  254  252
251  254  252
252  254  252
253  254  252
254  254  252
255  254  252
256  254  252
257  254  252
258  254  252
259  254  252
260  254  252
261  254  252
262  254  252
250  255  252
251  255  252
252  255  252
253  255  252
254  255  252
255  255  252
256  255  252
257  255  252
258  255  252
259  255  252
260  255  252
261  255  252
262  255  252
250  256  252
251  256  252
252  256  252
253  256  252
254  256  252
255  256  252
256  256  252
257  256  252
258  256  252
259  256  252
260  256  252
261  256  252
262  256  252
250  257  252
251  257  252
252  257  252
253  257  252
254  257  252
255  257  252
256  257  252
257  257  252
258  257  252
259  257  252
260  257  252
261  257  252
262  257  252
250  258  252
251  258  252
252  258  252
253  258  252
254  258  252
255  258  252
256  258  252
257  258  252
258  258  252
259  258  252
260  258  252
261  258  252
262  258  252
250  259  252
251  259  252
252  259  252
253  259  252
254  259  252
255  259  252
256  259  252
257  259  252
258  259  252
259  259  252
260  259  252
261  259  252
262  259  252
250  260  252
251  260  252
252  260  252
253  260  252
254  260  252
255  260  252
256  260  252
257  260  252
258  260  252
259  260  252
260  260  252
261  260  252
262  260  252
250  261  252
251  261  252
252  261  252
253  261  252
254  261  252
255  261  252
256  261  252
257  261  252
258  261  252
259  261  252
260  261  252
261  261  252
262  261  252
250  262  252
251  262  252
252  262  252
253  262  252
254  262  252
255  262  252
256  262  252
257  262  252
258  262  252
259  262  252
260  262  252
261  262  252
262  262  252
250  250  253
251  250  253
252  250  253
253  250  253
254  250  253
255  250  253
256  250  253
257  250  253
258  250  253
259  250  253
260  250  253
261  250  253
262  250  253
250  251  253
251  251  253
252  251  253
253  251  253
254  251  253
255  251  253
256  251  253
257  251  253
258  251  253
259  251  253
260  251  253
261  251  253
262  251  253
250  252  253
251  252  253
252  252  253
253  252  253
254  252  253
255  252  253
256  252  253
257  252  253
258  252  253
259  252  253
260  252  253
261  252  253
262  252  253
250  253  253
251  253  253
252  253  253
253  253  253
254  253  253
255  253  253
256  253  253
257  253  253
258  253  253
259  253  253
260  253  253
261  253  253
262  253  253
250  254  253
251  254  253
252  254  253
253  254  253
254  254  253
255  254  253
256  254  253
257  254  253
258  254  253
259  254  253
260  254  253
261  254  253
262  254  253
250  255  253
251  255  253
252  255  253
253  255  253
254  255  253
255  255  253
256  255  253
257  255  253
258  255  253
259  255  253
260  255  253
261  255  253
262  255  253
250  256  253
251  256  253
252  256  253
253  256  253
254  256  253
255  256  253
256  256  253
257  256  253
258  256  253
259  256  253
260  256  253
261  256  253
262  256  253
250  257  253
251  257  253
252  257  253
253  257  253
254  257  253
255  257  253
256  257  253
257  257  253
258  257  253
259  257  253
260  257  253
261  257  253
262  257  253
250  258  253
251  258  253
252  258  253
253  258  253
254  258  253
255  258  253
256  258  253
257  258  253
258  258  253
259  258  253
260  258  253
261  258  253
262  258  253
250  259  253
251  259  253
252  259  253
253  259  253
254  259  253
255  259  253
256  259  253
257  259  253
258  259  253
259  259  253
260  259  253
261  259  253
262  259  253
250  260  253
251  260  253
252  260  253
253  260  253
254  260  253
255  260  253
256  260  253
257  260  253
258  260  253
259  260  253
260  260  253
261  260  253
262  260  253
250  261  253
251  261  253
252  261  253
253  261  253
254  261  253
255  261  253
256  261  253
257  261  253
258  261  253
259  261  253
260  261  253
261  261  253
262  261  253
250  262  253
251  262  253
252  262  253
253  262  253
254  262  253
255  262  253
256  262  253
257  262  253
258  262  253
259  262  253
260  262  253
261  262  253
262  262  253
250  250  254
251  250  254
252  250  254
253  250  254
254  250  254
255  250  254
256  250  254
257  250  254
258  250  254
259  250  254
260  250  254
261  250  254
262  250  254
250  251  254
251  251  254
252  251  254
253  251  254
254  251  254
255  251  254
256  251  254
257  251  254
258  251  254
259  251  254
260  251  254
261  251  254
262  251  254
250  252  254
251  252  254
252  252  254
253  252  254
254  252  254
255  252  254
256  252  254
257  252  254
258  252  254
259  252  254
260  252  254
261  252  254
262  252  254
250  253  254
251  253  254
252  253  254
253  253  254
254  253  254
255  253  254
256  253  254
257  253  254
258  253  254
259  253  254
260  253  254
261  253  254
262  253  254
250  254  254
251  254  254
252  254  254
253  254  254
254  254  254
255  254  254
256  254  254
257  254  254
258  254  254
259  254  254
260  254  254
261  254  254
262  254  254
250  255  254
251  255  254
252  255  254
253  255  254
254  255  254
255  255  254
256  255  254
257  255  254
258  255  254
259  255  254
260  255  254
261  255  254
262  255  254
250  256  254
251  256  254
252  256  254
253  256  254
254  256  254
255  256  254
256  256  254
257  256  254
258  256  254
259  256  254
260  256  254
261  256  254
262  256  254
250  257  254
251  257  254
252  257  254
253  257  254
254  257  254
255  257  254
256  257  254
257  257  254
258  257  254
259  257  254
260  257  254
261  257  254
262  257  254
250  258  254
251  258  254
252  258  254
253  258  254
254  258  254
255  258  254
256  258  254
257  258  254
258  258  254
259  258  254
260  258  254
261  258  254
262  258  254
250  259  254
251  259  254
252  259  254
253  259  254
254  259  254
255  259  254
256  259  254
257  259  254
258  259  254
259  259  254
260  259  254
261  259  254
262  259  254
250  260  254
251  260  254
252  260  254
253  260  254
254  260  254
255  260  254
256  260  254
257  260  254
258  260  254
259  260  254
260  260  254
261  260  254
262  260  254
250  261  254
251  261  254
252  261  254
253  261  254
254  261  254
255  261  254
256  261  254
257  261  254
258  261  254
259  261  254
260  261  254
261  261  254
262  261  254
250  262  254
251  262  254
252  262  254
253  262  254
254  262  254
255  262  254
256  262  254
257  262  254
258  262  254
259  262  254
260  262  254
261  262  254
262  262  254
250  250  255
251  250  255
252  250  255
253  250  255
254  250  255
255  250  255
256  250  255
257  250  255
258  250  255
259  250  255
260  250  255
261  250  255
262  250  255
250  251  255
251  251  255
252  251  255
253  251  255
254  251  255
255  251  255
256  251  255
257  251  255
258  251  255
259  251  255
260  251  255
261  251  255
262  251  255
250  252  255
251  252  255
252  252  255
253  252  255
254  252  255
255  252  255
256  252  255
257  252  255
258  252  255
259  252  255
260  252  255
261  252  255
262  252  255
250  253  255
251  253  255
252  253  255
253  253  255
254  253  255
255  253  255
256  253  255
257  253  255
258  253  255
259  253  255
260  253  255
261  253  255
262  253  255
250  254  255
251  254  255
252  254  255
253  254  255
254  254  255
255  254  255
256  254  255
257  254  255
258  254  255
259  254  255
260  254  255
261  254  255
262  254  255
250  255  255
251  255  255
252  255  255
253  255  255
254  255  255
255  255  255
256  255  255
257  255  255
258  255  255
259  255  255
260  255  255
261  255  255
262  255  255
250  256  255
251  256  255
252  256  255
253  256  255
254  256  255
255  256  255
256  256  255
257  256  255
258  256  255
259  256  255
260  256  255
261  256  255
262  256  255
250  257  255
251  257  255
252  257  255
253  257  255
254  257  255
255  257  255
256  257  255
257  257  255
258  257  255
259  257  255
260  257  255
261  257  255
262  257  255
250  258  255
251  258  255
252  258  255
253  258  255
254  258  255
255  258  255
256  258  255
257  258  255
258  258  255
259  258  255
260  258  255
261  258  255
262  258  255
250  259  255
251  259  255
252  259  255
253  259  255
254  259  255
255  259  255
256  259  255
257  259  255
258  259  255
259  259  255
260  259  255
261  259  255
262  259  255
250  260  255
251  260  255
252  260  255
253  260  255
254  260  255
255  260  255
256  260  255
257  260  255
258  260  255
259  260  255
260  260  255
261  260  255
262  260  255
250  261  255
251  261  255
252  261  255
253  261  255
254  261  255
255  261  255
256  261  255
257  261  255
258  261  255
259  261  255
260  261  255
261  261  255
262  261  255
250  262  255
251  262  255
252  262  255
253  262  255
254  262  255
255  262  255
256  262  255
257  262  255
258  262  255
259  262  255
260  262  255
261  262  255
262  262  255
0  0  256
512  0  256
250  250  256
251  250  256
252  250  256
253  250  256
254  250  256
255  250  256
256  250  256
257  250  256
258  250  256
259  250  256
260  250  256
261  250  256
262  250  256
250  251  256
251  251  256
252  251  256
253  251  256
254  251  256
255  251  256
256  251  256
257  251  256
258  251  256
259  251  256
260  251  256
261  251  256
262  251  256
250  252  256
251  252  256
252  252  256
253  252  256
254  252  256
255  252  256
256  252  256
257  252  256
258  252  256
259  252  256
260  252  256
261  252  256
262  252  256
250  253  256
251  253  256
252  253  256
253  253  256
254  253  256
255  253  256
256  253  256
257  253  256
258  253  256
259  253  256
260  253  256
261  253  256
262  253  256
250  254  256
251  254  256
252  254  256
253  254  256
254  254  256
255  254  256
256  254  256
257  254  256
258  254  256
259  254  256
260  254  256
261  254  256
262  254  256
250  255  256
251  255  256
252  255  256
253  255  256
254  255  256
255  255  256
256  255  256
257  255  256
258  255  256
259  255  256
260  255  256
261  255  256
262  255  256
250  256  256
251  256  256
252  256  256
253  256  256
254  256  256
255  256  256
256  256  256
257  256  256
258  256  256
259  256  256
260  256  256
261  256  256
262  256  256
250  257  256
251  257  256
252  257  256
253  257  256
254  257  256
255  257  256
256  257  256
257  257  256
258  257  256
259  257  256
260  257  256
261  257  256
262  257  256
250  258  256
251  258  256
252  258  256
253  258  256
254  258  256
255  258  256
256  258  256
257  258  256
258  258  256
259  258  256
260  258  256
261  258  256
262  258  256
250  259  256
251  259  256
252  259  256
253  259  256
254  259  256
255  259  256
256  259  256
257  259  256
258  259  256
259  259  256
260  259  256
261  259  256
262  259  256
250  260  256
251  260  256
252  260  256
253  260  256
254  260  256
255  260  256
256  260  256
257  260  256
258  260  256
259  260  256
260  260  256
261  260  256
262  260  256
250  261  256
251  261  256
252  261  256
253  261  256
254  261  256
255  261  256
256  261  256
257  261  256
258  261  256
259  261  256
260  261  256
261  261  256
262  261  256
250  262  256
251  262  256
252  262  256
253  262  256
254  262  256
255  262  256
256  262  256
257  262  256
258  262  256
259  262  256
260  262  256
261  262  256
262  262  256
0  512  256
512  512  256
248  248  248
250  248  248
252  248  248
254  248  248
256  248  248
258  248  248
260  248  248
262  248  248
264  248  248
248  250  248
250  250  248
252  250  248
254  250  248
256  250  248
258  250  248
260  250  248
262  250  248
264  250  248
248  252  248
250  252  248
252  252  248
254  252  248
256  252  248
258  252  248
260  252  248
262  252  248
264  252  248
248  254  248
250  254  248
252  254  248
254  254  248
256  254  248
258  254  248
260  254  248
262  254  248
264  254  248
248  256  248
250  256  248
252  256  248
254  256  248
256  256  248
258  256  248
260  256  248
262  256  248
264  256  248
248  258  248
250  258  248
252  258  248
254  258  248
256  258  248
258  258  248
260  258  248
262  258  248
264  258  248
248  260  248
250  260  248
252  260  248
254  260  248
256  260  248
258  260  248
260  260  248
262  260  248
264  260  248
248  262  248
250  262  248
252  262  248
254  262  248
256  262  248
258  262  248
260  262  248
262  262  248
264  262  248
248  264  248
250  264  248
252  264  248
254  264  248
256  264  248
258  264  248
260  264  248
262  264  248
264  264  248
240  240  240
248  240  240
256  240  240
264  240  240
272  240  240
240  248  240
248  248  240
256  248  240
264  248  240
272  248  240
240  256  240
248  256  240
256  256  240
264  256  240
272  256  240
240  264  240
248  264  240
256  264  240
264  264  240
272  264  240
240  272  240
248  272  240
256  272  240
264  272  240
272  272  240
224  224  224
240  224  224
256  224  224
272  224  224
288  224  224
224  240  224
240  240  224
256  240  224
272  240  224
288  240  224
224  256  224
240  256  224
256  256  224
272  256  224
288  256  224
224  272  224
240  272  224
256  272  224
272  272  224
288  272  224
224  288  224
240  288  224
256  288  224
272  288  224
288  288  224
192  192  192
224  192  192
256  192  192
288  192  192
320  192  192
192  224  192
224  224  192
256  224  192
288  224  192
320  224  192
192  256  192
224  256  192
256  256  192
288  256  192
320  256  192
192  288  192
224  288  192
256  288  192
288  288  192
320  288  192
192  320  192
224  320  192
256  320  192
288  320  192
320  320  192
128  128  128
192  128  128
256  128  128
320  128  128
384  128  128
128  192  128
192  192  128
256  192  128
320  192  128
384  192  128
128  256  128
192  256  128
256  256  128
320  256  128
384  256  128
128  320  128
192  320  128
256  320  128
320  320  128
384  320  128
128  384  128
192  384  128
256  384  128
320  384  128
384  384  128
128  0  0
256  0  0
384  0  0
0  128  0
128  128  0
256  128  0
384  128  0
512  128  0
0  256  0
128  256  0
256  256  0
384  256  0
512  256  0
0  384  0
128  384  0
256  384  0
384  384  0
512  384  0
128  512  0
256  512  0
384  512  0
264  248  250
264  248  252
264  248  254
264  248  256
264  250  250
264  250  252
264  250  254
264  250  256
264  252  250
264  252  252
264  252  254
264  252  256
264  254  250
264  254  252
264  254  254
264  254  256
264  256  250
264  256  252
264  256  254
264  256  256
264  258  250
264  258  252
264  258  254
264  258  256
264  260  250
264  260  252
264  260  254
264  260  256
264  262  250
264  262  252
264  262  254
264  262  256
264  264  250
264  264  252
264  264  254
264  264  256
272  240  248
272  240  256
272  248  248
272  248  256
272  256  248
272  256  256
272  264  248
272  264  256
272  272  248
272  272  256
288  224  240
288  224  256
288  240  240
288  240  256
288  256  240
288  256  256
288  272  240
288  272  256
288  288  240
288  288  256
320  192  224
320  192  256
320  224  224
320  224  256
320  256  224
320  256  256
320  288  224
320  288  256
320  320  224
320  320  256
384  128  192
384  128  256
384  192  192
384  192  256
384  256  192
384  256  256
384  320  192
384  320  256
384  384  192
384  384  256
512  0  128
512  128  128
512  128  256
512  256  128
512  256  256
512  384  128
512  384  256
512  512  128
248  248  250
248  248  252
248  248  254
248  248  256
248  250  250
248  250  252
248  250  254
248  250  256
248  252  250
248  252  252
248  252  254
248  252  256
248  254  250
248  254  252
248  254  254
248  254  256
248  256  250
248  256  252
248  256  254
248  256  256
248  258  250
248  258  252
248  258  254
248  258  256
248  260  250
248  260  252
248  260  254
248  260  256
248  262  250
248  262  252
248  262  254
248  262  256
248  264  250
248  264  252
248  264  254
248  264  256
240  240  248
240  240  256
240  248  248
240  248  256
240  256  248
240  256  256
240  264  248
240  264  256
240  272  248
240  272  256
224  224  240
224  224  256
224  240  240
224  240  256
224  256  240
224  256  256
224  272  240
224  272  256
224  288  240
224  288  256
192  192  224
192  192  256
192  224  224
192  224  256
192  256  224
192  256  256
192  288  224
192  288  256
192  320  224
192  320  256
128  128  192
128  128  256
128  192  192
128  192  256
128  256  192
128  256  256
128  320  192
128  320  256
128  384  192
128  384  256
0  0  128
0  128  128
0  128  256
0  256  128
0  256  256
0  384  128
0  384  256
0  512  128
250  248  250
250  248  252
250  248  254
250  248  256
252  248  250
252  248  252
252  248  254
252  248  256
254  248  250
254  248  252
254  248  254
254  248  256
256  248  250
256  248  252
256  248  254
256  248  256
258  248  250
258  248  252
258  248  254
258  248  256
260  248  250
260  248  252
260  248  254
260  248  256
262  248  250
262  248  252
262  248  254
262  248  256
248  240  248
248  240  256
256  240  248
256  240  256
264  240  248
264  240  256
240  224  240
240  224  256
256  224  240
256  224  256
272  224  240
272  224  256
224  192  224
224  192  256
256  192  224
256  192  256
288  192  224
288  192  256
192  128  192
192  128  256
256  128  192
256  128  256
320  128  192
320  128  256
128  0  128
128  0  256
256  0  128
256  0  256
384  0  128
384  0  256
250  264  250
250  264  252
250  264  254
250  264  256
252  264  250
252  264  252
252  264  254
252  264  256
254  264  250
254  264  252
254  264  254
254  264  256
256  264  250
256  264  252
256  264  254
256  264  256
258  264  250
258  264  252
258  264  254
258  264  256
260  264  250
260  264  252
260  264  254
260  264  256
262  264  250
262  264  252
262  264  254
262  264  256
248  272  248
248  272  256
256  272  248
256  272  256
264  272  248
264  272  256
240  288  240
240  288  256
256  288  240
256  288  256
272  288  240
272  288  256
224  320  224
224  320  256
256  320  224
256  320  256
288  320  224
288  320  256
192  384  192
192  384  256
256  384  192
256  384  256
320  384  192
320  384  256
128  512  128
128  512  256
256  512  128
256  512  256
384  512  128
384  512  256
